"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","0.1 ÂµF","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/cl21b104kcfsfne/3888581","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"D1","100v 1a","https://www.digikey.com/en/products/detail/vishay-general-semiconductor-diodes-division/SS1FH10-M3-H/6012246","Diode_SMD:D_SMF","1",""
"J1","430452412","https://www.digikey.com/en/products/detail/molex/0430452412/531416?s=N4IgTCBcDaICwGYAMcCsBaMcCMEC6AvkA","Connector_Molex:Molex_Micro-Fit_3.0_43045-2412_2x12_P3.00mm_Vertical","1",""
"J2,J3","PPPC161LFBN-RC","https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPPC161LFBN-RC/810188","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","2",""
"J4,J5","6P2C","https://www.digikey.com/en/products/detail/amphenol-cs-fci/54601-906002WPLF/4242890","Connector_RJ:RJ12_Amphenol_54601-x06_Horizontal","2",""
"J6","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J7,J10","436500215","https://www.digikey.com/en/products/detail/molex/0436500215/283461?s=N4IgTCBcDaICwGYBsBWADAWjWAjCkAugL5A","Connector_Molex:Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical","2",""
"J8","436500815","https://www.digikey.com/en/products/detail/molex/0436500815/531388","Connector_Molex:Molex_Micro-Fit_3.0_43650-0815_1x08_P3.00mm_Vertical","1",""
"J9","430451812","https://www.digikey.com/en/products/detail/molex/0430451812/531413","Connector_Molex:Molex_Micro-Fit_3.0_43045-1812_2x09_P3.00mm_Vertical","1",""
"J11,J12","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"J13,J15","EHT-125-01-S-D","https://www.digikey.com/en/products/detail/samtec-inc/EHT-120-01-S-D/1106698","EHT-125-01-S-D:SAMTEC_EHT-125-01-S-D","2",""
"J14","EHT-110-01-S-D","https://www.digikey.com/en/products/detail/samtec-inc/EHT-110-01-S-D/1106695","EHT-110-01-XX-D:EHT-110-01-XX-D","1",""
"R1,R3,R4","2K","https://www.digikey.com/en/products/detail/vishay-dale/CRCW08052K00FKEA/1175669","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R2,R5,R6","1K","https://www.digikey.com/en/products/detail/vishay-dale/CRCW08051K00FKEA/1175637","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R7,R9,R11,R13,R15,R18","31.6K","https://www.digikey.com/en/products/detail/vishay-dale/CRCW080531K6FKEA/1175806","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6",""
"R8,R10,R12,R14,R16,R19","3740","https://www.digikey.com/en/products/detail/vishay-dale/crcw08053k74fkea/1175701","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6",""
"R17","120","https://www.digikey.com/en/products/detail/vishay-dale/CRCW08051K00FKEA/1175637","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R20,R21,R22,R23,R24,R25","10k","https://www.digikey.com/en/products/detail/vishay-dale/crcw080510k0fkea/1175751","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6",""
"U1","SN74AHCT125DR","https://www.digikey.com/en/products/detail/texas-instruments/SN74AHCT125DR/376412","Stratasys Adapter:SOIC127P600X175-14N","1",""
